epoch,lr-Adam,step,train_loss_epoch/forces_mse,train_loss_epoch/per_atom_energy_mse,train_loss_epoch/weighted_sum,train_loss_step/forces_mse,train_loss_step/per_atom_energy_mse,train_loss_step/weighted_sum,val0_epoch/forces_mae,val0_epoch/forces_rmse,val0_epoch/per_atom_energy_mae,val0_epoch/per_atom_energy_rmse,val0_epoch/total_energy_mae,val0_epoch/total_energy_rmse,val0_epoch/weighted_sum
0.0,,7115,0.13321746232373166,0.3004497634063131,0.1484203987857845,,,,,,,,,,
1.0,,11999,,,,0.059376366782136474,0.0014873632750374132,0.05411373009967293,,,,,,,
2.0,,18999,,,,0.05531672223068844,0.0013580205456917432,0.05041138571387056,,,,,,,
3.0,,24999,,,,0.046069890789121375,0.0008099685860019751,0.041955352407019614,,,,,,,
4.0,,29999,,,,0.039338150561922504,0.001219464256787177,0.03587281544327384,,,,,,,
5.0,,39999,,,,0.03426752696448185,0.00030693269213501217,0.03118020021245032,,,,,,,
6.0,,45999,,,,0.027387482399878982,0.00028482767951760373,0.024923604698027943,,,,,,,
7.0,,52999,,,,0.03362120019055008,0.00022151250053286295,0.030584864946003064,,,,,,,
8.0,,57999,,,,0.03150856954613675,0.0003322514198946702,0.028674358807387463,,,,,,,
9.0,,71159,0.027796407046056442,0.00041183882856279887,0.02530690084446611,,,,,,,,,,
10.0,,71999,,,,0.025134331470286497,0.0008081120694407289,0.022922856979300518,,,,,,,
11.0,,78999,,,,0.029237620920869643,0.0002554123065850213,0.0266028746832074,,,,,,,
12.0,,86999,,,,0.02391778452986716,0.0006294858822194027,0.021800666470990097,,,,,,,
13.0,,96999,,,,0.025164762098463682,0.0004695157604091803,0.02291973970409509,,,,,,,
14.0,,102999,,,,0.024376251634292058,0.00022991163302446305,0.022181129815994998,,,,,,,
15.0,,109999,,,,0.024228454373269547,0.00035829654475919514,0.022058440025223152,,,,,,,
16.0,,114999,,,,0.017587834100006788,0.00019673405701027804,0.016006825005188925,,,,,,,
17.0,,128087,0.02161395684225416,0.0002847901634645938,0.019674941689636932,,,,,,,,,,
18.0,,131999,,,,0.020818270028204928,7.089160169836867e-05,0.018932144716704333,,,,,,,
19.0,,142319,0.02070771232700272,0.00028493355710998647,0.01885109607519429,,,,,,,,,,
20.0,,142999,,,,0.018072105889122097,0.0006054990793473579,0.016484232542778938,,,,,,,
21.0,,149999,,,,0.018855251506411867,0.0002922380221475904,0.01716770482602421,,,,,,,
22.0,,159999,,,,0.018126051744990358,0.00012697969229966092,0.016489772467473022,,,,,,,
23.0,,170783,,,,,,,0.09851956156566614,0.13310499821273325,0.0076531687519027294,0.010845463794327236,0.8265422252054951,1.171310089787342,0.09025898040077857
24.0,,171999,,,,0.020676524714498518,8.100722091790516e-05,0.018804204942354828,,,,,,,
